SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, SegmentDistance, True,chr16_sen, chr16-0-100000, chr16-200000-300000, chr16-1100000-1200000, chr16-3500000-3600000, False, HoloLens, True, 2067.566

0, SegmentDistance, False,chr16_sen, chr16-0-100000, chr16-200000-300000, chr16-1100000-1200000, chr16-3500000-3600000, False, HoloLens, True, 700.9999

0, PointDistance, True,chr16_sen, chr16-66600000-66700000, chr16-51100000-51200000, chr16-0-100000, chr16-67700000-67800000, True, HoloLens, False, 733.0356

0, PointDistance, False,chr16_sen, chr16-66600000-66700000, chr16-51100000-51200000, chr16-0-100000, chr16-67700000-67800000, True, HoloLens, True, 500.004
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, CurveComparison, True,chr16_sen, chr17_sen, chr16_pro, True, HoloLens, True, 600.5055

0, CurveComparison, False,chr16_sen, chr15_sen, chr16_pro, True, HoloLens, False, 533.1392

0, SegmentDistance, True,chr16_sen, chr16-0-100000, chr16-200000-300000, chr16-1100000-1200000, chr16-3500000-3600000, False, HoloLens, True, 898.4539

0, SegmentDistance, False,chr16_sen, chr16-0-100000, chr16-200000-300000, chr16-1100000-1200000, chr16-3500000-3600000, False, HoloLens, False, 535.1087

0, PointDistance, True,chr16_sen, chr16-66600000-66700000, chr16-51100000-51200000, chr16-0-100000, chr16-67700000-67800000, True, HoloLens, True, 982.111

0, PointDistance, False,chr16_sen, chr16-66600000-66700000, chr16-51100000-51200000, chr16-0-100000, chr16-67700000-67800000, True, HoloLens, False, 550.501
