SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,20_formatted.bed.sen, chr20-47900000-48000000, chr20-54000000-54100000, chr20-7700000-7800000, chr20-62100000-62200000, True, Projection, False, 15120.0417
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,20_formatted.bed.sen, chr20-47900000-48000000, chr20-54000000-54100000, chr20-7700000-7800000, chr20-62100000-62200000, True, Projection, False, 15120.0417

1, PointDistance, True,21_formatted.bed.sen, chr21-31000000-31100000, chr21-17000000-17100000, chr21-36400000-36500000, chr21-26000000-26100000, False, Projection, False, 6099.087
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,20_formatted.bed.sen, chr20-47900000-48000000, chr20-54000000-54100000, chr20-7700000-7800000, chr20-62100000-62200000, True, Projection, False, 15120.0417

1, PointDistance, True,21_formatted.bed.sen, chr21-31000000-31100000, chr21-17000000-17100000, chr21-36400000-36500000, chr21-26000000-26100000, False, Projection, False, 6099.087

2, PointDistance, True,19_formatted.bed.pro, chr19-42400000-42500000, chr19-28000000-28100000, chr19-58300000-58400000, chr19-49000000-49100000, False, Projection, True, 668.5568
