SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, True, 371604.8191

1, PointDistance, True,19_formatted.bed.pro, chr19-10400000-10500000, chr19-18300000-18400000, chr19-24600000-24700000, chr19-40300000-40400000, False, Projection, True, 46833.8528

2, PointDistance, False,15_formatted.bed.sen, chr15-27600000-27700000, chr15-49300000-49400000, chr15-28600000-28700000, chr15-42700000-42800000, False, Projection, True, 26208.3731
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

2, PointDistance, False,15_formatted.bed.sen, chr15-27600000-27700000, chr15-49300000-49400000, chr15-28600000-28700000, chr15-42700000-42800000, False, Projection, False, 3641.1372

3, PointDistance, False,22_formatted.bed.pro, chr22-16900000-17000000, chr22-24600000-24700000, chr22-23600000-23700000, chr22-30900000-31000000, True, Projection, True, 22057.8144

4, PointDistance, False,12_formatted.bed.sen, chr12-33800000-33900000, chr12-61200000-61300000, chr12-9600000-9700000, chr12-31200000-31300000, False, Projection, True, 12037.8333
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, LargerTad, True,11_formatted.bed.sen, 1, Projection, True, 3136.0715

1, LargerTad, True,16_formatted.bed.sen, 1, Projection, True, 3472.4224

2, LargerTad, False,17_formatted.bed.sen, 1, Projection, False, 10406.0742
